text,ex3_score,ex4_score,ex5_score,ex6_score,ex7_score
"[PERSON NAME], daj znać w ciągu godziny co dalej z importem tej aplikacji na testy. [PERSON NAME] wydzwania od rana, że ma ekipę tylko na 2 dni, więc chce natychmiast zacząć.",5,4,4,4,4
"[PERSON NAME], przygotuj propozycję listu referencyjnego, który mogliby podpisać w [COMPANY NAME]. Umówiłem się z prezesem, że jak dostanie to do jutra, to da radę nam to podesłać. Później znika na wakacje, a my bez tego kwitu nie mamy co wysyłać oferty dla [COMPANY NAME].",5,5,4,5,4
"[PERSON NAME], mieliśmy w jednym miejscu zapisywać dane [COMPANY NAME]. Wczoraj je zapisałam w folderze [FOLDER PATH], a dzisiaj ich tam nie ma. Napisz do [TIME] gdzie je mogę znaleźć. Temat pilny.",5,5,4,5,3
"[PERSON NAME], gdzie jest dokument, który napisałeś wczoraj do [PERSON NAME]. [PERSON NAME] go od Ciebie nie dostała, a poprosiła mnie o recenzję. Wyślij mi go proszę najpóźniej dzisiaj do [TIME].",5,5,4,5,4
"[PERSON NAME], nie wiedziałem, że teraz na Ciebie zrzucili pilnowanie kwitów w projekcie. Potrzebuję szybko zestawienia ryzyk i mitygantów. Daj znać na kiedy możesz mi to dostarczyć. Sprawa gardłowa.",5,5,5,4,5
"Witaj [PERSON NAME]. Przepraszam, że Cię niepokoję, ale potrzebuję to zestawienie kosztów, o którym rozmawialiśmy w ubiegłym tygodniu. Praktycznie na już. Daj znać, gdy będziesz gotowa.",5,5,4,4,4
"[PERSON NAME], czy możesz zrobić screen z prezentacji, którą wczoraj oglądaliśmy na spotkaniu wewnętrznym. Chodzi o 2 i 9 slajd. Prześlij to do [PERSON NAME] jeszcze dziś.",5,5,4,4,4
"[PERSON NAME], czekam od piątku na Twoją notatkę. Wyślij ją najpóźniej dziś do południa. Jak się spóźnisz, będzie niezły kwas.",5,5,5,5,4
"Cześć, [PERSON NAME], wyślij mi proszę jakie zadania realizował w tym tygodniu [PERSON NAME]. Niestety chłopak się pochorował i nie będzie go w pracy dwa tygodnie. Potrzebuje tych info dzisiaj do [TIME].",5,4,3,5,3
Hej. Wszystko się zgadza. Jutro powinny przyjść wyniki testów z [COMPANY NAME]. W temacie [COMPANY NAME] nic się nie dzieje. Zadzwoń jeszcze dziś do ich bezpiecznika i prześlij mi info co ustaliłaś.,5,4,4,5,4
"[PERSON NAME], od dwóch dni czekam na raport od [PERSON NAME]. Możesz zapytać się co się z nim dzieje?",5,4,3,4,4
"[PERSON NAME], przesyłam do weryfikacji wzór [COMPANY NAME] z [COMPANY NAME]. Robimy tam projekt Data Governance jako podwykonawca [COMPANY NAME]. Dacie radę na to spojrzeć i przesłać uwagi (lub potwierdzenie, że możemy podpisać ten dokument) dziś do końca dnia? Pozdrawiam, [PERSON NAME]",5,4,4,4,4
"Hej [PERSON NAME]. Potrzebuję zwiększyć dwukrotnie wielkość dozwolonego pliku na środowisku produkcyjnym. Rozumiem, że musisz zrestartować środowisko. Zrób to dziś do [TIME].",5,5,4,3,3
"[PERSON NAME], niedopuszczalne są kolejne opóźnienia w tym projekcie. Daj mi na jutro plan działań niezbędnych, abyśmy skończyli projekt w czasie i budżecie. Pogadajmy o tym pod koniec dnia.",5,5,4,5,4
"W [COMPANY NAME] dla [COMPANY NAME] nie są wczytywane dane z wstępnej oceny projektu, po wybraniu przycisku. Mogłabyś to poprawić ASAP?",5,5,4,4,5
"Możesz, [PERSON NAME], sprawdzić co dzieje się z fakturami dla [PERSON NAME] z [DATE] i [DATE]? Nie wpłynęły płatności i siada nam płynność. Wyślij im dziś monit i dopilnuj, aby zapłacili do końca tygodnia.",5,4,4,5,4
"[PERSON NAME], zamrażamy od dziś deal z [COMPANY NAME]. Dopóki nie zapłacą za faktury, nie ruszamy z żadnymi pracami. Proszę o przekazanie tego całemu zespołowi. Jeśli klient będzie chciał dostać coś jeszcze, przekierujcie go wprost do mnie, nie podejmując żadnych rozmów, a tym bardziej zobowiązań.",5,4,3,3,3
