text,ex1_score,ex2_score
"Planowane jest spotkanie, abyśmy mogli dalej omówić te sprawy.",5,5
"Załóżmy, że wyjdę w piątek po południu.",5,3
Dlatego prosimy o przygotowanie listy problemów specyficznych dla danego miejsca również dla tego dokumentu.,5,3
"Jeśli chcesz podsumować mój maraton z Kaslerem, po prostu krzyknij.",5,3
"Wyślę Ci również kopię tej faktury pocztą i z przyjemnością prześlę wypełnione przez uczestników formularze oceny, jeśli chcesz je otrzymać.",5,3
Spróbujmy spotkać się dziś lub jutro.,5,5
"Proszę również o przesłanie kopii pełnej odpowiedzi na zapytanie ofertowe, zakładając, że ją posiadasz.",5,3
Ty i ja musimy usiąść i szczegółowo omówić kontrakt Artura Poticha i twój.,5,4
"Proszę koniecznie połączyć Anielę Herold-Niedzielin i Alicję Dromski, ponieważ rozmawiałem z nią o gazie CA i kazałem jej to wysłać.",5,4
"Umówmy się na spotkanie dla Ditera Dykrzewskiego, ty i ja z konsultantem, z którym już rozmawialiśmy.",5,4
"Zadzwoń do mnie, kiedy będziesz miał szansę.",5,4
"Zadzwoń, gdy będziesz mieć okazję do dyskusji.",5,4
"Gerard Wajdowski: Proszę o przesyłanie tych aktualizacji Olegowi Myrcie, Polikarpowi Szpiro i mnie w przyszłości.",5,4
"Zapisz tę wiadomość e-mail w celach informacyjnych, ponieważ zawiera ona ważne informacje dotyczące zakupu i aktywacji oprogramowania.",5,1
Czy mógłbyś wydrukować kopię i przekazać ją Erazmowi Poliniewiczowi przed jego wyjazdem do Waszyngtonu? Dziękuję bardzo.,5,4
"Twanda, czy mogłabyś to dla mnie wydrukować?",5,4
higher_priority,5,3
"Odnosząc się do wydarzeń z ostatnich kilku miesięcy, chciałbym porozmawiać z Państwem o tym, jak moje bogate doświadczenie w zarządzaniu i zbywaniu zagranicznych i krajowych przedsiębiorstw i aktywów Enronu mogłoby zostać wykorzystane przez firmę w okresie przejściowym.",5,4
Chciałbym mieć krótki (30 minut) spotkanie na temat hałasu w systemie politycznym o SynFuel i potwierdzają pogląd Jordan jest w sekcji 29 kredytów.,5,3
"Kiedy możesz porozmawiać o tym, jak poradzić sobie z różnymi problemami, które musimy rozwiązać, aby to zakończyć?",5,4
"W przyszłości proszę o kopiowanie ode mnie wszelkich e-maili dotyczących spotkań lub lunchów biznesowych, w których powinien uczestniczyć Polikarp Puława.",5,3
"Jeśli nie porozmawiamy od teraz do czwartku, porozmawiamy wtedy.",5,4
Dużo się dzieje tutaj i w Ameryce Południowej i prawdopodobnie będziemy mogli o tym porozmawiać w przyszłym tygodniu.,5,4
"Daj mi znać, jeśli chcesz otrzymać kopię notatki opisującej ten proces, która została wysłana przez Julię kilka tygodni temu.",5,4
FYI. Czy możesz zadzwonić jutro o 100?,5,4
"Spotkasz się z ponad 150 starszymi programistami i doradcami z branży energetycznej, aby uzyskać najbardziej dogłębne spojrzenie na dostępne dla Ciebie rynki energii NA.",5,3
Czy moglibyśmy zadzwonić w południe lub 14 czasu kalifornijskiego?,5,4
Czy przy okazji przeredagowałbyś fakturę CES i zadzwonił do mnie?,5,4
"Proszę usunąć mnie ze swojej listy e-mailowej, aby uzyskać dalsze wydarzenia HTC.",5,4
"Ustawmy tę dyskusję w następujących punktach: a) nie opuszczamy Argentyny; b) musimy odpowiednio dobrać wielkość całej organizacji, aby dopasować ją do możliwości biznesowych; c) jeśli to możliwe na froncie komercyjnym, chciałbym skonsolidować zasoby intelektualne w jednym miejscu, aby wygenerować większą produktywność, zwiększoną pracę zespołową, bardziej płaski schemat organizacyjny, podejmowanie decyzji w czasie rzeczywistym i lepszą komunikację; d) musimy nadal utrzymywać silną obecność (w tym obsługę klientów) na obu rynkach, w tym z biurem w Argentynie; oraz e) Chciałbym skonsolidować całą niekomercyjną działalność ESA z Sao Paulo.",5,4
"Jeśli masz inny pogląd, porozmawiajmy jak najszybciej.",5,4
"Jest to kontynuacja sprawy przeniesienia transakcji, o której rozmawialiśmy dziś rano.",5,4
"Zobacz mnie, aby upewnić się, że napisałem to poprawnie",5,3
Chciałbym uzyskać dostęp do Mimic.,5,4
"Chętnie omówię to z Państwem jutro, jeśli będziecie dostępni osobiście lub telefonicznie.",5,4
Obudź się! Obudź się i napisz do mnie.,5,4
"Jestem również do dyspozycji, aby omówić tę propozycję telefonicznie, jeśli chcesz porozmawiać przed poniedziałkiem.",5,4
"Jeśli im się to uda, przełóż rozmowę konferencyjną, wyślij e-mail potwierdzający do Anatoli, Marzanny Bielichowski-Cybula, Kent, Leonia, Walenty, Lubomira, Leonid (i zostaw jej pocztę głosową - jest w drodze) itp.",5,3
Czy jest szansa na ustawienie numeru telefonu na te spotkania?,5,4
"Wydrukuj, przejrzyj, podpisz i, jeśli to możliwe, potwierdź to notarialnie (jeśli to niemożliwe, daj mi znać).",5,2
"Adam Szabel, Proszę wpisać to do mojego kalendarza.",5,4
"Postaram się przesłać Ci listę tematów, które chciałbym omówić jutro do końca dnia, aby dać nam punkt wyjścia.",5,4
Byłbym bardzo wdzięczny waszym grupom za pomoc w odcięciu niektórych z tych problemów na przełęczy.,5,3
"Ustaw przypomnienie na czwartek, 28 listopada, o 9:00 CST!",5,2
"Jak omówiliśmy, JPMorgan chciałby poznać Twoje poglądy na powyższe kwestie.",5,4
Prosimy o przesłanie faksem piątkowego pakietu i ostatecznych numerów na drugi kwartał.,5,4
Po Twojej recenzji możemy dokonać niezbędnych zmian i modyfikacji.,5,3
"Wieńczysław, czy możesz wysłać mi egzemplarze papierowe - mam problem z otwarciem tych raportów.",5,4
"Urszuli Psica, w tym momencie zaangażowałbym Sonię Koczubiej lub Justynę Majewski-Bąbę - jeśli to jest krytyczne dla misji, daj mi znać.",5,4
"Nina, zgodnie z naszą dyskusją, chcę tylko potwierdzić, że w każdej chwili mamy możliwość zerwania umowy z dostawcą EPC.",5,4
"Daj mi znać, jeśli będziesz mógł wziąć udział.",5,4
"Arletta, czy dostajesz kopie wszystkich tych raportów do książki?",5,3
"Wygląda na to, że 230 dzisiaj jest dobre dla całej naszej trójki, jeśli chodzi o problemy z opcjami.",5,3
Dodaj mnie do listy „Nie e-mail” Disney Cruise Line,5,3
Czy możesz wysłać kopię e-mailem do Gizeli Hamar?,5,4
"Czy to oznacza, że ​​nie muszę czytać wszystkich e-maili, które mi wysłałeś?",5,3
"W elektrowni mam kilku facetów, z którymi musisz porozmawiać.",5,4
"Jeśli masz jakiekolwiek pytania dotyczące Twojej oferty pracy z Enron podczas wakacji, zadzwoń do mnie.",5,3
"Ryszarda, czy zechciałabyś spotkać się z naszym zespołem?",5,4
"Daj znać, jaki jest wynik spotkania.",5,4
"Dena, tylko potwierdzam z tobą, że nie będę na dzisiejszym spotkaniu.",5,4
"Zadzwoń do Zenaidy Bieńkowski-Sławik i zobacz, czy możemy przesunąć nasze spotkanie do 230.",5,4
"Radosławie Pijet, chciałbym omówić to z Tobą i Twoje plany gazowe.",5,4
Dołącz do mnie i życz Ewaryst wszystkiego najlepszego w jej nowym przedsięwzięciu.,5,3
Czy kiedykolwiek wysłałeś kopie CES opłat na żądanie za styczeń 2000 r.,5,3
"Reinhard Chciałbym posiedzieć z tobą kilka dni w tym tygodniu, jeśli mi pozwolisz.",5,4
"Benon, jesteś na tym, czy powinienem się tym zająć?",5,4
"Kiedy wrócisz, zadzwoń i możemy spotkać się na przerwie lub zjeść lunch lub piwo po pracy lub coś takiego.",5,3
"Chciałem przedyskutować z wami wasze przemyślenia na temat kryteriów, na podstawie których podejmujemy tę decyzję.",5,4
"Zadzwonię jutro, żeby umówić się na spotkanie.",5,5
"Jakakolwiek pomoc, której możesz mi udzielić w przygotowaniu szkolenia z kimś, kto będzie w stanie odpowiedzieć na nasze pytania, jest bardzo mile widziana.",5,4
Wtorek byłby dla mnie lepszy.,5,3
"Nie zapomnij, że dziś wieczorem odbędzie się premiera sezonu Marka.",5,3
"Czy jest szansa na niewielkie opóźnienie (powiedzmy do następnej środy lub czwartku), aby je ukończyć?",5,4
Spotkamy się w biurze Sławomira Stochniałka 33.,5,4
"Wobec powrotu Ryszarda Ten we wtorek, w trakcie naszych po omacku, warto przedyskutować w grupie, zanim ruszymy do przodu.",5,4
"Czy możesz przesłać mi swój aktualny adres domowy, abyśmy mogli wysłać Ci organizatora?",5,4
Zachowaj kopię tego e-maila w swojej dokumentacji.,5,3
"Czy mógłbyś mi doradzić, jaki jest najlepszy hotel, w którym moglibyśmy przenocować, blisko Twojej lokalizacji?",5,4
Jem dziś obiad z Jackiem Grochowikiem - chcesz do nas dołączyć?,5,3
"Informuj mnie jutro o wszelkich wiadomościach, jakie usłyszysz od Bożeny dotyczące ich dziecka.",5,4
"Daj mi znać, kiedy możesz poświęcić 15 minut swojego cennego czasu na spotkanie z Tobą i pomoc w określeniu zakresu projektu, który może wielokrotnie zwiększyć Twoją produktywność.",5,4
"Zdzisława Tunak, nie ma mnie cały następny tydzień, po prostu zadzwoń do Hipolita Drozdowskiego-Bartkowiaka, a ona ustali wycenę i wprowadzi oferty.",5,4
"Wychodzę w przyszłym tygodniu, ale prawdopodobnie zadzwonię do ciebie, żeby trochę porozmawiać.",5,4
Złap mnie w poniedziałek.,5,4
"Jeśli tak, Arnold Widera-Marciniak, czy byłoby możliwe, aby z dnia na dzień przesłał mi „oficjalne wersje” listów?",5,4
"Daj mi znać, jeśli chcesz wprowadzić zmiany.",5,4
"Zajrzyj i porozmawiajmy jak najszybciej (poniedziałek?), abyśmy mogli uzyskać dostęp do akt w CPUC.",5,4
"Dzięki John, czekam na Ciebie w Doubletree na kolację 3 września. Daj mi znać o swoich planach podróży",5,3
Ahhh ... zadzwoń do mnie wkrótce @ben_wiggin 02:01 - 26 czerwca 14,5,3
"Nie chcę zatwierdzać dalszych inwestycji, dopóki nie przeprowadzimy takiej dyskusji.",5,4
"Falcon – przegląd raportów z prac kontrolnych, dyskusje z klientami.",5,3
Przygotowałem dla ciebie dokument do omówienia.,5,4
"W środę spotykamy się z Teodozją Kiriew, aby spróbować wypracować proces zatwierdzania dla Australii, więc może po środę zacznę odpowiadać za nich.",5,4
Spotkajmy się w środę lub czwartek w tym tygodniu.,5,4
"Wilhelmino Skrzywanek, potrzebuję twojego ponownego złożenia dokumentu planu, w tym celów i celów jak najszybciej, abyśmy mogli przeprowadzić ostateczną dyskusję i sfinalizować.",5,4
"W przypadku, gdy nie mogę przyjść na żadną klasę, jestem dostępny w środę i czwartek wieczorem, aby omówić następny przypadek.",5,3
Zadzwoń do nas pod numer (855) 962-3621 lub odpowiedz na ten e-mail.,5,3
"Będę w Sacramento w poniedziałek 4 czerwca i chciałbym omówić z tobą naszą propozycję, jeśli uznasz ją za użyteczną i jeśli pozwala na to twój harmonogram.",5,4
"Ale gdyby coś się stało, możesz zostawić mi wiadomość głosową w domu, a będę sprawdzać ją raz na godzinę po godzinie 13:00 w piątek.",5,4
"Twanda, czy mogłabyś zapisać to w moim katalogu formularzy i wydrukować je dla mnie?",5,4
"Jeśli tak, prosimy o poinformowanie o dostępnej godzinie w poniedziałek, a ja zajmę się konfiguracją.",5,4
"Proszę, podziel się swoimi przemyśleniami na ten temat.",5,4
Czekam na kontakt z Państwem jutro.,5,4
Zadzwoń w celu omówienia w dogodnym dla Ciebie terminie.,5,4
Czy musimy dodać list PX do porządku dziennego jutrzejszej rozmowy o 10:00?,5,4
"Jak rozmawialiśmy, zaplanowano też na 2:30, więc co powiesz na jutro o 3:30?",5,4
Tadeusza Tarasewicza-Kowala proszę o kontakt w razie pytań dotyczących tej pani.,5,4
"Jeśli pojawi się któryś z tych problemów, daj mi znać.",5,3
"Jeśli nie dokonam zmian, zadzwonię do ciebie w piątek po wylądowaniu i dam ci znać.",5,4
"Christi, nie udało mi się otworzyć pliku, czy możesz wysłać kopię.",5,4
